id,movie_id,actor_id
401,a_s98,2097
402,a_s100,14374
403,a_s100,14663
404,a_s100,5105
405,a_s100,35905
406,a_s100,26975
407,a_s102,10978
408,a_s102,37930
409,a_s102,5635
410,a_s102,28405
411,a_s102,22101
412,a_s102,61894
413,a_s102,18044
414,a_s102,12251
415,a_s102,19808
416,a_s102,1220
417,a_s102,49714
418,a_s102,764
419,a_s102,38922
420,a_s102,44314
421,a_s102,17158
422,a_s102,62215
423,a_s102,46881
424,a_s102,43417
425,a_s102,29464
426,a_s102,2851
427,a_s102,11154
428,a_s102,24299
429,a_s102,24279
430,a_s102,23092
431,a_s102,1239
432,a_s102,10233
433,a_s102,26108
434,a_s103,48348
435,a_s103,49493
436,a_s103,48434
437,a_s105,13137
438,a_s105,39682
439,a_s105,2060
440,a_s105,62236
441,a_s105,4233
442,a_s105,26386
443,a_s105,42248
444,a_s105,13815
445,a_s105,9537
446,a_s105,32534
447,a_s106,20772
448,a_s106,27929
449,a_s106,31299
450,a_s108,537
451,a_s110,42488
452,a_s112,60557
453,a_s113,50134
454,a_s113,45854
455,a_s113,54999
456,a_s113,11627
457,a_s114,1820
458,a_s114,59993
459,a_s114,59138
460,a_s115,5391
461,a_s116,28038
462,a_s116,4624
463,a_s116,17156
464,a_s116,30839
465,a_s116,4554
466,a_s116,57455
467,a_s116,57949
468,a_s116,29965
469,a_s116,25510
470,a_s116,57154
471,a_s116,50321
472,a_s116,36232
473,a_s116,38819
474,a_s116,17013
475,a_s116,42783
476,a_s116,13903
477,a_s116,49810
478,a_s116,27947
479,a_s116,42635
480,a_s116,11304
481,a_s116,10681
482,a_s116,5242
483,a_s116,13212
484,a_s116,58176
485,a_s116,44040
486,a_s117,5815
487,a_s117,20086
488,a_s117,59520
489,a_s117,57786
490,a_s117,28662
491,a_s118,30014
492,a_s118,3537
493,a_s118,24811
494,a_s118,8208
495,a_s118,26176
496,a_s118,38833
497,a_s118,37063
498,a_s118,49747
499,a_s118,36082
500,a_s123,2837
501,a_s123,20066
502,a_s123,378
503,a_s124,24827
504,a_s124,6244
505,a_s124,47994
506,a_s124,20011
507,a_s124,60389
508,a_s124,26834
509,a_s125,11656
510,a_s125,59570
511,a_s125,37859
512,a_s126,26889
513,a_s126,11973
514,a_s126,20422
515,a_s127,23944
516,a_s127,57561
517,a_s127,12989
518,a_s127,25995
519,a_s127,31298
520,a_s128,21987
521,a_s128,9364
522,a_s128,6500
523,a_s130,27741
524,a_s131,28107
525,a_s132,22201
526,a_s132,40418
527,a_s132,49837
528,a_s132,57274
529,a_s133,10225
530,a_s133,43387
531,a_s133,59922
532,a_s133,10150
533,a_s133,24156
534,a_s133,43175
535,a_s133,22371
536,a_s134,6348
537,a_s134,10540
538,a_s134,8699
539,a_s134,34160
540,a_s134,27689
541,a_s134,7538
542,a_s134,5216
543,a_s134,26474
544,a_s136,53995
545,a_s136,22100
546,a_s136,33720
547,a_s136,22765
548,a_s136,6594
549,a_s137,48173
550,a_s137,27173
551,a_s138,11098
552,a_s138,371
553,a_s138,62044
554,a_s138,32959
555,a_s140,31091
556,a_s140,39969
557,a_s141,53265
558,a_s142,19250
559,a_s142,37658
560,a_s142,22229
561,a_s142,33362
562,a_s142,9876
563,a_s142,32532
564,a_s143,53366
565,a_s143,50057
566,a_s143,41413
567,a_s143,46615
568,a_s143,807
569,a_s144,18903
570,a_s144,3823
571,a_s144,18729
572,a_s145,57374
573,a_s145,27691
574,a_s145,18238
575,a_s146,37670
576,a_s146,11529
577,a_s146,28234
578,a_s147,20663
579,a_s147,17927
580,a_s147,22747
581,a_s152,35546
582,a_s152,47965
583,a_s152,36737
584,a_s152,40219
585,a_s152,35152
586,a_s152,38762
587,a_s152,9709
588,a_s152,44705
589,a_s152,23017
590,a_s152,53860
591,a_s152,45271
592,a_s152,44372
593,a_s152,29012
594,a_s152,44243
595,a_s152,17059
596,a_s152,17481
597,a_s152,40307
598,a_s153,14238
599,a_s153,19914
600,a_s154,22782
601,a_s154,57359
602,a_s154,59034
603,a_s154,5540
604,a_s154,4785
605,a_s154,61228
606,a_s154,38263
607,a_s154,51397
608,a_s154,54212
609,a_s154,15292
610,a_s154,5045
611,a_s154,2982
612,a_s155,22782
613,a_s155,57359
614,a_s155,59034
615,a_s155,5540
616,a_s155,4785
617,a_s155,61228
618,a_s155,38263
619,a_s155,51397
620,a_s155,54212
621,a_s155,15292
622,a_s155,5045
623,a_s155,2982
624,a_s156,60273
625,a_s156,57237
626,a_s156,10204
627,a_s156,53082
628,a_s156,33330
629,a_s156,15772
630,a_s156,24120
631,a_s156,36710
632,a_s156,57152
633,a_s156,60673
634,a_s156,54962
635,a_s157,3589
636,a_s157,45623
637,a_s157,59932
638,a_s157,60733
639,a_s158,45744
640,a_s159,45744
641,a_s160,20043
642,a_s160,50201
643,a_s160,15785
644,a_s160,60593
645,a_s160,36590
646,a_s160,11961
647,a_s160,55886
648,a_s161,49987
649,a_s161,19981
650,a_s161,47754
651,a_s161,4135
652,a_s161,46070
653,a_s161,12359
654,a_s161,35325
655,a_s161,23827
656,a_s161,47985
657,a_s162,25997
658,a_s162,14082
659,a_s162,29370
660,a_s162,29427
661,a_s163,52141
662,a_s163,1895
663,a_s163,9187
664,a_s163,19742
665,a_s163,4286
666,a_s163,33846
667,a_s163,24399
668,a_s164,55416
669,a_s164,42991
670,a_s164,32772
671,a_s164,20724
672,a_s164,4808
673,a_s164,48801
674,a_s164,15293
675,a_s164,1365
676,a_s164,53207
677,a_s165,8285
678,a_s165,17151
679,a_s165,42382
680,a_s165,7568
681,a_s165,7739
682,a_s165,26979
683,a_s165,38468
684,a_s166,11991
685,a_s166,18384
686,a_s166,409
687,a_s166,11664
688,a_s167,13394
689,a_s167,58174
690,a_s167,48882
691,a_s167,58431
692,a_s167,33127
693,a_s167,45154
694,a_s168,43349
695,a_s168,57196
696,a_s168,19279
697,a_s168,4097
698,a_s168,25773
699,a_s169,49843
700,a_s169,9243
701,a_s169,15079
702,a_s169,12892
703,a_s170,37730
704,a_s170,15636
705,a_s170,45202
706,a_s173,1409
707,a_s173,30184
708,a_s174,10559
709,a_s174,42764
710,a_s174,41827
711,a_s174,60143
712,a_s174,40400
713,a_s174,8889
714,a_s175,12868
715,a_s175,12537
716,a_s175,8239
717,a_s176,17153
718,a_s176,37997
719,a_s176,9723
720,a_s176,48044
721,a_s179,1344
722,a_s179,42340
723,a_s180,48502
724,a_s180,28175
725,a_s181,48170
726,a_s181,32816
727,a_s181,44598
728,a_s182,26140
729,a_s182,17354
730,a_s182,16216
731,a_s182,9600
732,a_s183,53888
733,a_s183,31696
734,a_s183,7741
735,a_s184,53370
736,a_s184,61786
737,a_s184,31403
738,a_s184,41932
739,a_s184,31492
740,a_s185,50070
741,a_s185,48840
742,a_s185,54086
743,a_s185,4017
744,a_s185,48680
745,a_s186,1930
746,a_s186,2075
747,a_s186,25525
748,a_s188,54845
749,a_s189,50207
750,a_s189,1950
751,a_s189,45642
752,a_s190,54163
753,a_s190,54475
754,a_s190,51353
755,a_s190,31594
756,a_s190,19771
757,a_s190,47320
758,a_s190,59859
759,a_s190,29270
760,a_s191,32982
761,a_s192,20057
762,a_s192,21853
763,a_s193,59331
764,a_s193,9985
765,a_s193,45374
766,a_s193,46812
767,a_s194,60023
768,a_s194,10248
769,a_s194,14813
770,a_s194,46223
771,a_s197,20828
772,a_s197,17796
773,a_s199,43833
774,a_s199,11729
775,a_s199,57753
776,a_s199,28137
777,a_s199,39893
778,a_s200,45745
779,a_s201,14172
780,a_s202,9594
781,a_s202,12770
782,a_s202,48957
783,a_s202,12493
784,a_s202,28784
785,a_s203,47309
786,a_s203,59974
787,a_s203,19831
788,a_s203,34475
789,a_s203,40607
790,a_s204,41887
791,a_s204,55281
792,a_s204,43299
793,a_s204,846
794,a_s205,41887
795,a_s205,55281
796,a_s205,43299
797,a_s205,846
798,a_s206,41887
799,a_s206,55281
800,a_s206,43299
801,a_s206,846
802,a_s207,27735
803,a_s207,47108
804,a_s207,51762
805,a_s208,8501
806,a_s208,37577
807,a_s208,48770
808,a_s213,48934
809,a_s213,3743
810,a_s213,2537
811,a_s213,61950
812,a_s213,31611
813,a_s213,10777
814,a_s214,13363
815,a_s214,12948
816,a_s214,15233
817,a_s215,58239
818,a_s215,57625
819,a_s215,39984
820,a_s215,25775
821,a_s215,53052
